radical,name
氵,水
艹,草
木,木
口,口
扌,手
亻,人
钅,金
土,土
虫,虫
女,女
王,王
月,月
忄,心
阝,耳
纟,丝
讠,言
石,石
火,火
山,山
日,日
竹,竹
辶,之
足,足
疒,病
鱼,鱼
鸟,鸟
目,目
犭,犬
心,心
贝,贝
衤,衣
宀,宝
禾,禾
马,马
刂,刀
酉,酉
车,车
门,门
礻,示
广,广
米,米
页,页
饣,食
一,一
巾,巾
羽,羽
彳,人
大,大
穴,穴
力,力
雨,雨
舟,舟
革,革
人,人
丿,撇
田,田
尸,尸
亠,亠
戈,戈
囗,囗
攵,文
子,子
冫,水
灬,灬
衣,衣
白,白
耳,耳
弓,弓
厂,厂
金,金
歹,歹
皿,皿
牜,牛
气,气
手,手
十,十
耒,耒
水,水
糸,糸
欠,欠
羊,羊
罒,四
骨,骨
隹,隹
又,又
方,方
髟,髟
立,立
走,走
见,见
言,言
黑,黑
匚,匡
丨,竖
瓦,瓦
齿,齿
鬼,鬼
角,角
户,户
八,八
丷,丷
夕,夕
鹿,鹿
毛,毛
刀,刀
豸,豸
勹,包
小,小
冂,同
风,风
彡,彡
乙,乙
儿,儿
虍,虎
矢,矢
肉,肉
几,几
士,士
鼠,鼠
廾,廾
寸,寸
卜,卜
丶,点
厶,厶
二,二
斤,斤
冖,秃
缶,缶
工,工
辛,辛
牛,牛
臼,臼
凵,凵
邑,邑
卩,耳
殳,殳
曰,曰
斗,斗
豕,豕
飠,食
耂,老
艸,艸
韦,韦
用,用
鳥,鳥
乛,乛
尢,尢
止,止
夂,夂
示,示
片,片
文,文
比,比
魚,魚
赤,赤
身,身
香,香
行,行
犬,犬
玉,玉
瓜,瓜
彐,彐
而,而
巳,巳
爫,爪
鬲,鬲
皮,皮
鼻,鼻
覀,覀
匕,匕
青,青
里,里
谷,谷
豆,豆
非,非
血,血
舌,舌
疋,疋
生,生
聿,聿
父,父
自,自
母,母
廴,廴
矛,矛
龙,龙
丬,丬
音,音
?,?
彑,彑
鼓,鼓
鼎,鼎
甘,甘
采,采
首,首
黹,黹
爿,爿
毋,毋
黄,黄
至,至
麻,麻
弋,弋
色,色
干,干
幺,幺
麦,麦
黽,黽
黍,黍
齐,齐
龠,龠
?,?
面,面
糹,糹
?,?
卤,卤
厄,厄
已,已
氏,氏
爪,爪
爻,爻
牙,牙
癶,癶
氺,氺
,
艮,艮
辰,辰
臣,臣
阜,阜
长,长
?,?
?,?
龍,龍
韭,韭
业,业
乚,乚
兀,兀
入,入
冃,冃
卝,卝
肀,肀
巛,巛
支,支
攴,攴
旡,旡
飞,飞
隶,隶
食,食
車,車
虎,虎
鬯,鬯
高,高
己,己
